# White dwarf EOS from Helmholtz code
# Composition: abar =   13.7, zbar =    6.9
# Temperature =  1.000E+07 K
# density[g/cm^3]  pressure[dyn/cm^2]  internal energy density [erg/cm^3]
# Note internal energy density = rho e_int excludes rest mass energy contribution
   6.234404E+04   3.045247E+20   4.646475E+20
   6.379769E+04   3.161856E+20   4.825608E+20
   6.528523E+04   3.282929E+20   5.011662E+20
   6.680746E+04   3.408635E+20   5.204904E+20
   6.836518E+04   3.539152E+20   5.405611E+20
   6.995922E+04   3.674662E+20   5.614071E+20
   7.159043E+04   3.815357E+20   5.830582E+20
   7.325967E+04   3.961431E+20   6.055456E+20
   7.496783E+04   4.113088E+20   6.289015E+20
   7.671582E+04   4.270539E+20   6.531592E+20
   7.850457E+04   4.434005E+20   6.783535E+20
   8.033503E+04   4.603718E+20   7.045205E+20
   8.220817E+04   4.779910E+20   7.316977E+20
   8.412498E+04   4.962831E+20   7.599238E+20
   8.608648E+04   5.152735E+20   7.892394E+20
   8.809373E+04   5.349888E+20   8.196863E+20
   9.014777E+04   5.554565E+20   8.513080E+20
   9.224970E+04   5.767048E+20   8.841497E+20
   9.440065E+04   5.987631E+20   9.182584E+20
   9.660175E+04   6.216621E+20   9.536827E+20
   9.885417E+04   6.454335E+20   9.904733E+20
   1.011591E+05   6.701108E+20   1.028683E+21
   1.035178E+05   6.957278E+20   1.068365E+21
   1.059315E+05   7.223203E+20   1.109577E+21
   1.084014E+05   7.499251E+20   1.152378E+21
   1.109290E+05   7.785807E+20   1.196829E+21
   1.135155E+05   8.083264E+20   1.242992E+21
   1.161623E+05   8.392034E+20   1.290935E+21
   1.188708E+05   8.712538E+20   1.340724E+21
   1.216424E+05   9.045220E+20   1.392430E+21
   1.244787E+05   9.390537E+20   1.446128E+21
   1.273811E+05   9.748970E+20   1.501894E+21
   1.303512E+05   1.012101E+21   1.559807E+21
   1.333905E+05   1.050717E+21   1.619949E+21
   1.365008E+05   1.090798E+21   1.682405E+21
   1.396835E+05   1.132400E+21   1.747265E+21
   1.429404E+05   1.175578E+21   1.814619E+21
   1.462733E+05   1.220394E+21   1.884565E+21
   1.496839E+05   1.266906E+21   1.957201E+21
   1.531740E+05   1.315179E+21   2.032629E+21
   1.567455E+05   1.365279E+21   2.110958E+21
